#{"t_start": 1754806777.9066224, "env_id": "None"}
r,l,t
-1.0,1,0.0331
-1.0,1,0.069474
-1.0,1,0.077004
-0.5,1,0.085817
-0.6666666666666666,1,0.092562
-0.25,1,0.100607
-0.2,1,0.109428
-0.3333333333333333,1,0.11663
-0.1,1,0.124109
-0.16666666666666666,1,0.132262
-0.06666666666666667,1,0.143001
-0.12,1,0.152789
-0.3,1,0.165116
-0.12,1,0.180188
-0.3,1,0.194214
-0.2,1,0.208758
-0.2,1,0.221024
-0.25,1,0.231338
-0.2,1,0.248905
-0.2,1,0.257492
-0.4,1,0.264696
-0.5,1,0.274857
-0.6666666666666666,1,0.282929
-0.3333333333333333,1,0.293577
-0.3333333333333333,1,0.303198
-0.25,1,0.312792
-0.2,1,0.323015
-0.125,1,0.330811
-0.16666666666666666,1,0.341485
-0.5555555555555556,1,0.352529
-0.3333333333333333,1,0.36577
-0.3333333333333333,1,0.380442
-0.6666666666666666,1,0.38979
-0.5,1,0.396511
-0.3333333333333333,1,0.408735
-0.3333333333333333,1,0.415796
-0.16666666666666666,1,0.425186
-0.75,1,0.432379
-0.6666666666666666,1,0.444443
-1.0,1,0.46337
-0.6666666666666666,1,0.495584
-0.3333333333333333,1,0.522411
-0.6666666666666666,1,0.554964
-0.3333333333333333,1,0.578735
-0.3333333333333333,1,0.598758
0.0,1,0.636461
-1.0,1,0.649369
-1.0,1,0.657104
-1.0,1,0.663931
-1.0,1,0.672098
-0.6666666666666666,1,0.677941
-1.0,1,0.687477
-1.0,1,0.707649
-1.0,1,0.741797
-1.0,1,0.755608
-1.0,1,0.771261
-1.0,1,0.778056
-0.16666666666666666,1,0.787172
-0.2222222222222222,1,0.794131
-0.16666666666666666,1,0.802366
-0.2222222222222222,1,0.811765
-0.16666666666666666,1,0.820294
-0.2,1,0.831254
-0.5,1,0.841794
-0.4,1,0.849469
-0.06666666666666667,1,0.857761
-0.16666666666666666,1,0.863873
-0.5555555555555556,1,0.876697
-0.6666666666666666,1,0.883015
-0.3333333333333333,1,0.891536
-0.3333333333333333,1,0.897993
-0.2,1,0.906
-0.3333333333333333,1,0.912898
-0.5,1,0.927211
-0.3333333333333333,1,0.943288
-0.2,1,0.951063
-0.3333333333333333,1,0.958508
-0.2,1,0.965096
-0.2222222222222222,1,0.973219
-0.16666666666666666,1,0.979187
-0.2,1,0.987497
-0.2,1,0.994302
-0.3333333333333333,1,1.001916
-0.2,1,1.008641
-0.16666666666666666,1,1.014977
-0.75,1,1.023207
-0.4,1,1.029647
-0.16666666666666666,1,1.042154
-0.2222222222222222,1,1.048644
-0.06666666666666667,1,1.058634
-0.16666666666666666,1,1.065465
-0.06666666666666667,1,1.07399
-0.3,1,1.080266
-0.12,1,1.090064
-0.2,1,1.097914
-0.2,1,1.10703
-0.16666666666666666,1,1.113605
-0.2,1,1.123854
-0.3333333333333333,1,1.130065
0.0,1,1.138065
-1.0,1,1.144428
-1.0,1,1.153789
-1.0,1,1.165104
-1.0,1,1.172755
-0.6666666666666666,1,1.183098
-0.3333333333333333,1,1.191506
0.0,1,1.20347
-1.0,1,1.212132
-1.0,1,1.223857
-0.6666666666666666,1,1.22982
-1.0,1,1.243797
-1.0,1,1.252856
-1.0,1,1.26227
-1.0,1,1.270685
-0.75,1,1.280578
-1.0,1,1.289768
-0.75,1,1.302007
-0.6666666666666666,1,1.312463
-0.5,1,1.325072
-0.3333333333333333,1,1.331974
-0.5555555555555556,1,1.344633
-0.16666666666666666,1,1.353838
-0.2,1,1.363474
-0.3333333333333333,1,1.371645
-0.06666666666666667,1,1.381346
-0.16666666666666666,1,1.389627
-0.125,1,1.399127
-0.1,1,1.407739
-0.2,1,1.417337
-0.2,1,1.424937
-0.25,1,1.434881
-0.1,1,1.442507
-0.3333333333333333,1,1.452652
-0.2,1,1.458988
