#{"t_start": 1758825441.5089233, "env_id": "None"}
r,l,t
-1.0,1,0.052041
-1.0,1,0.190578
-1.0,1,0.276784
-1.0,1,0.367049
-0.4555225985511975,1,0.478433
-0.614240470529056,1,0.574766
-1.0,1,0.681705
-1.0,1,0.708355
-1.0,1,0.731667
-0.31985666388199097,1,0.755268
-0.11877602639618755,1,0.770215
-0.2607467264499238,1,0.78646
-0.16915440664240386,1,0.797614
-0.14925462659940883,1,0.813166
-0.4555225985511975,1,0.823861
-0.2607467264499238,1,0.838618
-0.2607467264499238,1,0.850434
-0.1830898802950365,1,0.862594
-0.044106457796586056,1,0.876456
-0.08470035003035102,1,0.887192
-0.07705365487013374,1,0.905426
-0.0679888553543514,1,0.917087
-0.16915440664240386,1,0.927706
-0.044106457796586056,1,0.941932
-0.2607467264499238,1,0.953016
-0.08470035003035102,1,0.966713
-0.11877602639618755,1,0.976507
-0.030970460063535644,1,0.986702
-0.11877602639618755,1,1.002055
-0.044106457796586056,1,1.014035
-0.0679888553543514,1,1.026145
-0.014107744446467842,1,1.043443
-0.08340157804042272,1,1.055627
-0.08999257204827851,1,1.068976
-0.08340157804042272,1,1.083141
-0.1752819893927695,1,1.097999
-0.22809292592410346,1,1.114219
-0.2423445601177815,1,1.132246
-0.11877602639618755,1,1.144143
-0.1752819893927695,1,1.161804
-0.1830898802950365,1,1.174185
-0.1752819893927695,1,1.193014
-0.11877602639618755,1,1.21004
-0.14925462659940883,1,1.225784
-0.1830898802950365,1,1.239906
-0.20125945971208595,1,1.25528
-0.1305631903889186,1,1.267193
-0.10596739423044838,1,1.283071
-0.09682605854653069,1,1.296728
-0.09167823207105945,1,1.311467
-0.022967787248398982,1,1.322581
-0.04686230434267754,1,1.333398
-0.024646124986675302,1,1.350627
-0.030970460063535644,1,1.362701
-0.022967787248398982,1,1.380705
-0.03389437719881895,1,1.398381
-0.008075446078215018,1,1.417283
-0.022967787248398982,1,1.428243
-0.037991303552243845,1,1.44422
-0.0679888553543514,1,1.455577
-0.025247077801056547,1,1.470026
-0.07180649910383857,1,1.487261
-0.13578001131802256,1,1.513501
-0.03891765529330158,1,1.531944
-0.044106457796586056,1,1.550873
-0.07180649910383857,1,1.569497
-0.11877602639618755,1,1.582493
-0.14651032676301248,1,1.597113
-0.0679888553543514,1,1.60816
-0.0679888553543514,1,1.625347
