#{"t_start": 1758432937.7269475, "env_id": "None"}
r,l,t
-1.0,1,0.049112
-1.0,1,0.116126
-1.0,1,0.151953
-0.49399995604562896,1,0.181901
-1.0,1,0.206049
-0.49399995604562896,1,0.238192
-0.32701572575880644,1,0.291819
-0.5498970215152382,1,0.322495
-0.16154575415107983,1,0.341848
-0.32701572575880644,1,0.373603
-0.16154575415107983,1,0.396503
-0.49399995604562896,1,0.411825
-0.32701572575880644,1,0.44693
-0.32701572575880644,1,0.479652
-0.32701572575880644,1,0.512736
-0.24403595657308333,1,0.540753
-0.09606890012133878,1,0.549995
-0.32701572575880644,1,0.582772
-0.19447147503888695,1,0.61606
-0.11564934535195502,1,0.644005
-0.06359523054922724,1,0.65495
-0.11564934535195502,1,0.687403
-0.06359523054922724,1,0.722014
-0.11564934535195502,1,0.7522
-0.06359523054922724,1,0.77319
-0.11564934535195502,1,0.790678
-0.29377455747249076,1,0.823869
-0.19447147503888695,1,0.853252
-0.19447147503888695,1,0.8737
-0.12055375182065618,1,0.896802
-0.09606890012133878,1,0.925645
-0.19447147503888695,1,0.957761
-0.29377455747249076,1,0.977535
-0.06359523054922724,1,0.99904
-0.39366698854710896,1,1.032126
-0.06359523054922724,1,1.061198
-0.16154575415107983,1,1.087553
-0.19447147503888695,1,1.102468
-0.19447147503888695,1,1.136111
-0.12055375182065618,1,1.166122
-0.16154575415107983,1,1.19516
-0.06359523054922724,1,1.204009
-0.32701572575880644,1,1.235376
-0.32701572575880644,1,1.264832
-1.0,1,1.300833
-1.0,1,1.318853
-1.0,1,1.341058
-0.7462514409875026,1,1.370339
-0.39366698854710896,1,1.390075
-0.19447147503888695,1,1.411208
-0.16154575415107983,1,1.439384
-0.32701572575880644,1,1.462526
-0.32701572575880644,1,1.483191
-0.7743807376143085,1,1.510326
-0.6619752122581185,1,1.541932
-0.49399995604562896,1,1.566918
-0.6619752122581185,1,1.579108
-0.49399995604562896,1,1.611764
-0.32701572575880644,1,1.636626
-0.32701572575880644,1,1.661712
-0.19447147503888695,1,1.68508
-0.19447147503888695,1,1.715049
-0.06359523054922724,1,1.745037
-0.19447147503888695,1,1.756511
-0.06359523054922724,1,1.78801
-0.19447147503888695,1,1.821629
-0.19447147503888695,1,1.852221
-0.11564934535195502,1,1.874623
-0.06359523054922724,1,1.888447
-0.11564934535195502,1,1.921299
-0.06359523054922724,1,1.95572
-0.16154575415107983,1,1.988338
-0.29377455747249076,1,2.005333
-0.06359523054922724,1,2.025123
-0.16154575415107983,1,2.060443
-0.32701572575880644,1,2.093864
-0.32701572575880644,1,2.117692
-0.5498970215152382,1,2.143345
-0.32701572575880644,1,2.166007
-0.32701572575880644,1,2.196107
-0.32701572575880644,1,2.225552
-0.24403595657308333,1,2.252543
-0.32701572575880644,1,2.280802
-0.32701572575880644,1,2.301299
-0.32701572575880644,1,2.33108
-0.32701572575880644,1,2.367119
-0.32701572575880644,1,2.383668
-0.24403595657308333,1,2.406806
-0.19447147503888695,1,2.440039
-0.16154575415107983,1,2.470046
-0.06359523054922724,1,2.489787
-0.16154575415107983,1,2.511055
-0.06359523054922724,1,2.543629
-0.16154575415107983,1,2.575794
-0.2164763044709286,1,2.605694
-0.19447147503888695,1,2.615453
-0.2164763044709286,1,2.644459
-0.16154575415107983,1,2.668573
-0.2164763044709286,1,2.695599
-0.32701572575880644,1,2.714099
-0.19447147503888695,1,2.746491
-0.24403595657308333,1,2.775999
-0.19447147503888695,1,2.830643
-0.24403595657308333,1,2.854429
-0.32701572575880644,1,2.892413
-0.19447147503888695,1,2.918962
-0.32701572575880644,1,2.952993
-0.32701572575880644,1,2.983403
-0.32701572575880644,1,3.020355
-0.32701572575880644,1,3.051156
-0.32701572575880644,1,3.087752
-0.12055375182065618,1,3.106168
-0.16154575415107983,1,3.143883
-0.19447147503888695,1,3.166379
-0.19447147503888695,1,3.205999
-0.16154575415107983,1,3.231737
-0.0,1,3.268191
-1.0,1,3.299404
-1.0,1,3.335092
-1.0,1,3.364357
-0.7462514409875026,1,3.398072
-0.39366698854710896,1,3.415138
-0.19447147503888695,1,3.43767
-0.32701572575880644,1,3.465336
-0.32701572575880644,1,3.494672
-0.6619752122581185,1,3.5234
-1.0,1,3.54343
-0.6619752122581185,1,3.574072
-1.0,1,3.619622
-0.32701572575880644,1,3.645216
-0.32701572575880644,1,3.679894
-0.16154575415107983,1,3.708743
-0.12055375182065618,1,3.742652
-0.32701572575880644,1,3.762605
-0.32701572575880644,1,3.796421
-0.32701572575880644,1,3.816584
-0.32701572575880644,1,3.849595
-0.32701572575880644,1,3.886251
-0.12055375182065618,1,3.928051
-0.32701572575880644,1,3.949524
-0.24403595657308333,1,3.983543
-0.32701572575880644,1,4.008614
-0.32701572575880644,1,4.026414
-0.19447147503888695,1,4.058997
-0.24403595657308333,1,4.121726
-0.32701572575880644,1,4.14974
-0.24403595657308333,1,4.169764
-0.32701572575880644,1,4.194559
-0.19447147503888695,1,4.230698
-0.39366698854710896,1,4.26009
-0.16154575415107983,1,4.294223
-0.39366698854710896,1,4.321635
-0.49399995604562896,1,4.348463
-0.39366698854710896,1,4.381496
-0.7462514409875026,1,4.425923
-1.0,1,4.441993
-1.0,1,4.474232
-0.39366698854710896,1,4.503897
-0.49399995604562896,1,4.546942
-0.16154575415107983,1,4.580786
-0.32701572575880644,1,4.605843
-0.32701572575880644,1,4.638344
-0.32701572575880644,1,4.673483
-0.16154575415107983,1,4.707366
-0.06359523054922724,1,4.745227
-0.2164763044709286,1,4.777106
-0.19447147503888695,1,4.810506
-0.19447147503888695,1,4.843009
-0.49399995604562896,1,4.87471
-0.32701572575880644,1,4.906593
-0.32701572575880644,1,4.931478
-0.32701572575880644,1,4.949376
-0.32701572575880644,1,4.981818
-0.32701572575880644,1,5.013517
-0.32701572575880644,1,5.048002
-0.32701572575880644,1,5.069359
-0.49399995604562896,1,5.097417
-1.0,1,5.120177
-0.32701572575880644,1,5.154051
-0.0,1,5.185319
-1.0,1,5.217825
-1.0,1,5.237665
-1.0,1,5.292311
-0.49399995604562896,1,5.325483
-0.6619752122581185,1,5.358903
-0.49399995604562896,1,5.390042
-0.6619752122581185,1,5.424148
-0.32701572575880644,1,5.445739
-0.6619752122581185,1,5.4794
-0.32701572575880644,1,5.495885
-0.6619752122581185,1,5.529956
-0.5498970215152382,1,5.550801
-0.16154575415107983,1,5.582156
-0.7462514409875026,1,5.598233
-0.6619752122581185,1,5.631133
-0.7743807376143085,1,5.656636
-0.32701572575880644,1,5.678126
-0.12055375182065618,1,5.703417
-0.32701572575880644,1,5.737563
-0.19447147503888695,1,5.770022
-0.09606890012133878,1,5.801289
-0.11564934535195502,1,5.812283
-0.19447147503888695,1,5.849439
-0.19447147503888695,1,5.877313
-0.0,1,5.917708
-1.0,1,5.944622
-1.0,1,5.981879
-1.0,1,6.010955
-1.0,1,6.036842
-0.6619752122581185,1,6.06547
-1.0,1,6.103585
-1.0,1,6.117156
-1.0,1,6.155332
-1.0,1,6.188079
-1.0,1,6.222857
-1.0,1,6.251592
-1.0,1,6.287392
-1.0,1,6.320082
-1.0,1,6.356889
-1.0,1,6.388093
-1.0,1,6.423867
-1.0,1,6.445333
-1.0,1,6.472963
-1.0,1,6.493814
-1.0,1,6.528307
-0.39366698854710896,1,6.560787
-0.49399995604562896,1,6.595655
-0.16154575415107983,1,6.651757
-0.32701572575880644,1,6.671429
-0.32701572575880644,1,6.702527
