#{"t_start": 1758460157.1506329, "env_id": "None"}
r,l,t
-103.0,6,2.519227
-29.0,32,2.532468
-22.0,32,2.545553
-109.0,15,2.55186
-20.0,32,2.564608
-27.0,32,2.578211
-108.0,11,2.582569
-19.0,32,2.598338
-112.0,24,2.608529
-107.0,11,2.612959
-112.0,26,2.624434
-29.0,32,2.637391
-16.0,32,2.64981
-13.0,32,2.663153
-15.0,32,2.675709
-21.0,32,2.688976
-15.0,32,2.705269
-20.0,32,2.71859
-12.0,32,2.732425
-28.0,32,2.745946
-28.0,32,2.762268
-24.0,32,2.776354
-18.0,32,2.790297
-26.0,32,2.807481
-112.0,28,2.819026
-13.0,32,2.832443
-12.0,32,2.845366
-12.0,32,2.858934
-12.0,32,2.871612
-11.0,32,2.884142
-11.0,32,2.897337
-10.0,32,2.912716
-11.0,32,2.9265
-105.0,8,2.929294
-101.0,2,2.930444
-101.0,2,2.930885
-101.0,2,2.931312
-103.0,4,2.932908
-101.0,2,2.934104
-11.0,32,2.946776
-103.0,4,2.948451
-103.0,4,2.950054
-13.0,32,2.96279
-12.0,32,2.975757
-11.0,32,2.98933
-14.0,32,3.002032
-13.0,32,3.019058
-22.0,32,3.032163
-11.0,32,3.045208
-11.0,32,3.058833
-11.0,32,3.071688
-107.0,17,3.079105
-11.0,32,3.091922
-11.0,32,3.130836
-10.0,32,3.151694
-11.0,32,3.165322
-22.0,32,3.179513
-31.0,32,3.193049
-30.0,32,3.20608
-17.0,32,3.219575
-14.0,32,3.23212
-10.0,32,3.248709
-10.0,32,3.262229
-13.0,32,3.275024
-13.0,32,3.288543
-101.0,2,3.289069
-101.0,2,3.290246
-101.0,2,3.290689
-101.0,2,3.291133
-101.0,2,3.292295
-101.0,2,3.292737
-101.0,2,3.293896
-101.0,2,3.294343
-101.0,2,3.29477
-101.0,2,3.295902
-101.0,2,3.296373
-101.0,2,3.297591
-101.0,2,3.298042
-101.0,2,3.298473
-101.0,2,3.299632
-101.0,2,3.300063
-101.0,2,3.301315
-10.0,32,3.314058
-11.0,32,3.326842
-9.0,32,3.340233
-9.0,32,3.356607
-10.0,32,3.370214
-9.0,32,3.382812
-9.0,32,3.395627
-9.0,32,3.409232
-9.0,32,3.422099
-9.0,32,3.435645
-9.0,32,3.45094
-9.0,32,3.464433
-9.0,32,3.478152
-9.0,32,3.491004
-9.0,32,3.50465
-9.0,32,3.517366
-9.0,32,3.530053
-9.0,32,3.54364
-9.0,32,3.559279
-9.0,32,3.573963
-18.0,32,3.587909
-15.0,32,3.60088
-20.0,32,3.615068
-18.0,32,3.628282
-20.0,32,3.642026
-30.0,32,3.655065
-26.0,32,3.671392
-30.0,32,3.685341
-30.0,32,3.698269
-30.0,32,3.711789
-22.0,32,3.724699
-14.0,32,3.73737
-17.0,32,3.750782
-13.0,32,3.763433
-10.0,32,3.780316
-10.0,32,3.794048
-10.0,32,3.807532
-10.0,32,3.821584
-31.0,32,3.834285
-12.0,32,3.847637
-12.0,32,3.860325
-11.0,32,3.875823
-11.0,32,3.889506
-10.0,32,3.902368
-13.0,32,3.915753
-10.0,32,3.928315
-10.0,32,3.940861
-103.0,5,3.942887
-10.0,32,3.956047
-10.0,32,3.968677
-10.0,32,3.984166
-10.0,32,3.999514
-102.0,3,4.001184
-104.0,6,4.00334
-23.0,32,4.016123
-26.0,32,4.053018
-27.0,32,4.071219
-22.0,32,4.087503
-27.0,32,4.101346
-29.0,32,4.114482
-104.0,5,4.116564
-103.0,5,4.118665
-107.0,8,4.122185
-106.0,7,4.124722
-109.0,10,4.12884
-106.0,7,4.132052
-104.0,5,4.134037
-104.0,5,4.136199
-104.0,5,4.138262
-108.0,9,4.141371
-117.0,18,4.148882
-117.0,18,4.156509
-107.0,8,4.15926
-111.0,12,4.164638
-110.0,11,4.169028
-32.0,32,4.185182
-125.0,26,4.196334
-108.0,9,4.20019
-111.0,12,4.205835
-32.0,32,4.219212
-32.0,32,4.232219
-32.0,32,4.246143
-32.0,32,4.260019
-128.0,29,4.272434
-32.0,32,4.287911
-32.0,32,4.303787
-32.0,32,4.317057
-32.0,32,4.331564
-32.0,32,4.345214
-32.0,32,4.358433
-32.0,32,4.372432
-32.0,32,4.386912
-32.0,32,4.40209
-32.0,32,4.415114
-127.0,28,4.42705
-115.0,16,4.433375
-113.0,14,4.439288
-111.0,12,4.44389
