#{"t_start": 1748183726.3099203, "env_id": "None"}
r,l,t
-3.666667,11,1.944786
-6.916667,13,1.960309
-3.333333,7,1.963166
-2.361111,7,1.967346
-3.25,5,1.969466
-3.25,5,1.971351
-2.666667,7,1.973984
-3.333333,9,1.977095
-2.5,7,1.979759
-3.416667,9,1.982973
-2.444444,7,2.002143
-2.083333,5,2.004688
-3.833333,7,2.007799
-2.083333,5,2.010051
-3.333333,11,2.01453
-3.5,9,2.018206
-2.777778,7,2.020994
-2.416667,5,2.023288
-3.083333,7,2.026178
-3.416667,7,2.041566
-3.194444,7,2.044472
-2.083333,5,2.046543
-3.75,7,2.049871
-2.5,7,2.054416
-2.5,7,2.057522
-3.083333,7,2.060695
-2.583333,5,2.063127
-2.083333,5,2.06514
-3.833333,9,2.068064
-3.25,5,2.078094
-2.083333,5,2.080428
-2.083333,5,2.082551
-3.166667,7,2.086187
-2.777778,7,2.088845
-2.444444,7,2.091826
-4.027778,11,2.095737
-2.583333,7,2.098517
-3.0,7,2.101069
-3.194444,9,2.113765
-3.333333,7,2.117367
-2.666667,7,2.120102
-3.277778,11,2.12418
-2.083333,5,2.126267
-3.083333,7,2.128682
-2.916667,7,2.131636
-2.777778,7,2.134065
-3.0,7,2.136539
-2.583333,7,2.147506
-2.416667,5,2.149904
-2.083333,5,2.152101
-2.694444,7,2.15483
-2.916667,7,2.158765
-3.25,5,2.160656
-2.583333,5,2.162525
-2.833333,7,2.164996
-2.083333,5,2.166765
-2.666667,7,2.169286
-3.166667,9,2.178963
-3.333333,7,2.181482
-2.083333,5,2.183363
-3.25,7,2.185809
-3.333333,9,2.189185
-2.083333,5,2.191635
-2.944444,7,2.193996
-2.666667,7,2.196271
-2.416667,5,2.198507
-2.083333,5,2.200603
-4.666667,9,2.211267
-2.861111,9,2.214447
-2.777778,7,2.216954
-2.083333,5,2.219182
-2.5,7,2.222295
-5.527778,15,2.227152
-2.916667,7,2.22983
-2.083333,5,2.232124
-2.083333,5,2.234661
-3.416667,9,2.245317
-2.083333,5,2.24735
-2.583333,7,2.250069
-2.666667,7,2.252926
-4.861111,11,2.256462
-2.361111,7,2.260201
-2.083333,5,2.262273
-2.083333,5,2.264609
-2.583333,5,2.26666
-2.083333,5,2.279167
-3.25,5,2.28158
-2.083333,5,2.284023
-2.666667,7,2.287045
-2.5,7,2.289615
-2.083333,5,2.292023
-2.583333,7,2.294659
-2.583333,7,2.297568
-6.111111,13,2.30255
-2.083333,5,2.304686
-2.083333,5,2.314633
-2.083333,5,2.317121
-3.277778,9,2.320069
-2.083333,5,2.322994
-2.083333,5,2.324942
-2.083333,5,2.326985
-2.083333,5,2.329067
-2.083333,5,2.330996
-2.083333,5,2.333095
-2.083333,5,2.335443
-3.083333,9,2.339059
-2.583333,7,2.356952
-2.083333,5,2.35905
-2.583333,7,2.362541
-2.666667,7,2.366995
-2.583333,7,2.370019
-2.583333,5,2.372286
-2.083333,5,2.374498
-2.083333,5,2.376655
-2.361111,7,2.379286
-3.333333,7,2.381999
-2.083333,5,2.384109
-2.083333,5,2.393983
-2.083333,5,2.395847
-3.083333,9,2.40028
-2.083333,5,2.40279
-2.083333,5,2.404932
-2.083333,5,2.40708
-2.083333,5,2.409036
-3.416667,7,2.411694
-2.083333,5,2.413892
-2.083333,5,2.415905
-4.166667,9,2.430073
-4.166667,11,2.434122
-3.777778,9,2.437219
-2.583333,5,2.439489
-2.083333,5,2.441877
-2.083333,5,2.444104
-2.083333,5,2.446494
-3.166667,9,2.449803
-2.083333,5,2.452166
-2.083333,5,2.454327
-2.083333,5,2.470726
-2.083333,5,2.472798
-2.083333,5,2.474992
-2.083333,5,2.47712
-2.083333,5,2.479276
-2.083333,5,2.481718
-2.083333,5,2.483992
-2.083333,5,2.528043
-3.416667,7,2.530827
-4.0,13,2.535124
-2.083333,5,2.537195
-2.666667,7,2.578435
-2.083333,5,2.583728
-2.083333,5,2.586093
-2.083333,5,2.588231
-2.083333,5,2.590125
-2.083333,5,2.591888
-2.083333,5,2.593787
-2.083333,5,2.595526
-2.083333,5,2.597588
-2.944444,9,2.600863
-2.083333,5,2.602624
-2.083333,5,2.604565
-2.083333,5,2.619999
-2.083333,5,2.622202
-2.083333,5,2.624446
-2.083333,5,2.626581
-2.083333,5,2.628785
-2.083333,5,2.631145
-2.083333,5,2.633539
-2.083333,5,2.635596
-2.083333,5,2.637674
-2.083333,5,2.639622
-2.583333,5,2.64176
-3.083333,9,2.645243
-2.083333,5,2.656258
-2.083333,5,2.658293
-2.083333,5,2.662085
-2.444444,7,2.665015
-2.083333,5,2.667751
-2.083333,5,2.669916
-2.083333,5,2.672174
-2.083333,5,2.674014
-2.083333,5,2.676285
-2.083333,5,2.678492
-2.083333,5,2.680367
-2.083333,5,2.682521
-2.083333,5,2.696634
-2.083333,5,2.700336
-2.083333,5,2.702632
-2.083333,5,2.706274
-3.333333,7,2.708982
-2.083333,5,2.711128
-2.083333,5,2.713113
-2.083333,5,2.714995
-2.083333,5,2.716986
-2.361111,7,2.719795
-2.916667,7,2.722441
-2.083333,5,2.724417
-3.166667,7,2.736605
-2.083333,5,2.738577
-2.083333,5,2.740387
-2.083333,5,2.742429
-2.083333,5,2.744686
-2.083333,5,2.747051
-3.333333,7,2.749658
-2.083333,5,2.751944
-2.083333,5,2.75382
-2.083333,5,2.75596
-2.083333,5,2.757892
-2.083333,5,2.759993
-2.083333,5,2.771915
-2.083333,5,2.773979
-2.583333,5,2.775918
-2.083333,5,2.778306
-2.583333,5,2.780816
-2.083333,5,2.782609
